date,time_idx,median_listing_price,thirty_year_interest_rate_five,month,county_name,active_listing_count,median_days_on_market,pred_median_listing_price,month_year
2016-07-01,0,87500.0,3.72,7,"saline, mo",148.0,101.0,0,Jul-2016
2016-08-01,1,85000.0,3.73,8,"saline, mo",143.0,114.0,0,Aug-2016
2016-09-01,2,90475.0,3.66,9,"saline, mo",139.0,110.0,0,Sep-2016
2016-10-01,3,92000.0,3.64,10,"saline, mo",138.0,98.0,0,Oct-2016
2016-11-01,4,93375.0,3.66,11,"saline, mo",136.0,97.0,0,Nov-2016
2016-12-01,5,95200.0,3.48,12,"saline, mo",127.0,108.0,0,Dec-2016
2017-01-01,6,93125.0,3.45,1,"saline, mo",125.0,119.0,0,Jan-2017
2017-02-01,7,98450.0,3.5,2,"saline, mo",119.0,123.0,0,Feb-2017
2017-03-01,8,101200.0,3.52,3,"saline, mo",119.0,102.0,0,Mar-2017
2017-04-01,9,106250.0,4.03,4,"saline, mo",124.0,66.0,0,Apr-2017
2017-05-01,10,99875.0,4.32,5,"saline, mo",124.0,71.0,0,May-2017
2017-06-01,11,107500.0,4.2,6,"saline, mo",127.0,77.0,0,Jun-2017
2017-07-01,12,106250.0,4.19,7,"saline, mo",121.0,96.0,0,Jul-2017
2017-08-01,13,107650.0,4.3,8,"saline, mo",119.0,88.0,0,Aug-2017
2017-09-01,14,106900.0,4.1,9,"saline, mo",118.0,83.0,0,Sep-2017
2017-10-01,15,94925.0,4.05,10,"saline, mo",117.0,74.0,0,Oct-2017
2017-11-01,16,89700.0,3.94,11,"saline, mo",122.0,79.0,0,Nov-2017
2017-12-01,17,88000.0,4.03,12,"saline, mo",112.0,83.0,0,Dec-2017
2018-01-01,18,83900.0,3.93,1,"saline, mo",109.0,81.0,0,Jan-2018
2018-02-01,19,86050.0,3.83,2,"saline, mo",117.0,74.0,0,Feb-2018
2018-03-01,20,96000.0,3.94,3,"saline, mo",109.0,74.0,0,Mar-2018
2018-04-01,21,105575.0,3.95,4,"saline, mo",110.0,87.0,0,Apr-2018
2018-05-01,22,118375.0,3.99,5,"saline, mo",113.0,79.0,0,May-2018
2018-06-01,23,123200.0,4.15,6,"saline, mo",115.0,69.0,0,Jun-2018
2018-07-01,24,129125.0,4.4,7,"saline, mo",103.0,80.0,0,Jul-2018
2018-08-01,25,121950.0,4.46,8,"saline, mo",111.0,76.0,0,Aug-2018
2018-09-01,26,129500.0,4.58,9,"saline, mo",116.0,65.0,0,Sep-2018
2018-10-01,27,130000.0,4.66,10,"saline, mo",120.0,74.0,0,Oct-2018
2018-11-01,28,123750.0,4.62,11,"saline, mo",110.0,81.0,0,Nov-2018
2018-12-01,29,124000.0,4.54,12,"saline, mo",105.0,98.0,0,Dec-2018
2019-01-01,30,113725.0,4.6,1,"saline, mo",106.0,106.0,0,Jan-2019
2019-02-01,31,104800.0,4.72,2,"saline, mo",102.0,108.0,0,Feb-2019
2019-03-01,32,112743.0,4.9,3,"saline, mo",97.0,100.0,0,Mar-2019
2019-04-01,33,135900.0,4.94,4,"saline, mo",93.0,85.0,0,Apr-2019
2019-05-01,34,138750.0,4.75,5,"saline, mo",92.0,65.0,0,May-2019
2019-06-01,35,136500.0,4.51,6,"saline, mo",96.0,72.0,0,Jun-2019
2019-07-01,36,120975.0,4.41,7,"saline, mo",93.0,77.0,0,Jul-2019
2019-08-01,37,118782.0,4.41,8,"saline, mo",92.0,86.0,0,Aug-2019
2019-09-01,38,117780.0,4.2,9,"saline, mo",90.0,90.0,0,Sep-2019
2019-10-01,39,117111.0,4.14,10,"saline, mo",86.0,96.0,0,Oct-2019
2019-11-01,40,124900.0,3.84,11,"saline, mo",88.0,78.0,0,Nov-2019
2019-12-01,41,124225.0,3.81,12,"saline, mo",92.0,88.0,0,Dec-2019
2020-01-01,42,127600.0,3.75,1,"saline, mo",95.0,80.0,0,Jan-2020
2020-02-01,43,129950.0,3.73,2,"saline, mo",92.0,94.0,0,Feb-2020
2020-03-01,44,134725.0,3.78,3,"saline, mo",82.0,87.0,0,Mar-2020
2020-04-01,45,132325.0,3.75,4,"saline, mo",80.0,90.0,0,Apr-2020
2020-05-01,46,139700.0,3.74,5,"saline, mo",72.0,101.0,0,May-2020
2020-06-01,47,118750.0,3.72,6,"saline, mo",65.0,67.0,0,Jun-2020
2020-07-01,48,116875.0,3.49,7,"saline, mo",63.0,64.0,0,Jul-2020
2020-08-01,49,119000.0,3.65,8,"saline, mo",56.0,60.0,0,Aug-2020
2020-09-01,50,134225.0,3.33,9,"saline, mo",55.0,42.0,0,Sep-2020
2020-10-01,51,119500.0,3.28,10,"saline, mo",59.0,46.0,0,Oct-2020
2020-11-01,52,109475.0,3.21,11,"saline, mo",61.0,54.0,0,Nov-2020
2020-12-01,53,99500.0,3.07,12,"saline, mo",55.0,63.0,0,Dec-2020
2021-01-01,54,89000.0,2.99,1,"saline, mo",48.0,79.0,0,Jan-2021
2021-02-01,55,99750.0,2.93,2,"saline, mo",42.0,86.0,0,Feb-2021
2021-03-01,56,106550.0,2.88,3,"saline, mo",33.0,97.0,0,Mar-2021
2021-04-01,57,117450.0,2.84,4,"saline, mo",35.0,57.0,0,Apr-2021
2021-05-01,58,114950.0,2.71,5,"saline, mo",34.0,36.0,0,May-2021
2021-06-01,59,135725.0,2.79,6,"saline, mo",29.0,39.0,0,Jun-2021
2021-07-01,60,125000.0,2.97,7,"saline, mo",27.0,28.0,0,Jul-2021
2021-08-01,61,139500.0,3.17,8,"saline, mo",38.0,26.0,0,Aug-2021
2021-09-01,62,156400.0,3.18,9,"saline, mo",39.0,39.0,0,Sep-2021
2021-10-01,63,139000.0,3.0,10,"saline, mo",47.0,31.0,0,Oct-2021
2021-11-01,64,134100.0,3.02,11,"saline, mo",39.0,42.0,0,Nov-2021
2021-12-01,65,136875.0,2.98,12,"saline, mo",35.0,54.0,0,Dec-2021
2022-01-01,66,136750.0,2.87,1,"saline, mo",31.0,67.0,0,Jan-2022
2022-02-01,67,127000.0,3.01,2,"saline, mo",31.0,61.0,0,Feb-2022
2022-03-01,68,120000.0,3.14,3,"saline, mo",34.0,52.0,0,Mar-2022
2022-04-01,69,172450.0,3.1,4,"saline, mo",33.0,54.0,0,Apr-2022
2022-05-01,70,181725.0,3.12,5,"saline, mo",37.0,43.0,0,May-2022
2022-06-01,71,154500.0,3.56,6,"saline, mo",41.0,42.0,0,Jun-2022
2022-07-01,72,154500.0,3.92,7,"saline, mo",43.0,45.0,0,Jul-2022
2022-08-01,73,144725.0,4.67,8,"saline, mo",57.0,47.0,0,Aug-2022
2022-09-01,74,149450.0,5.11,9,"saline, mo",63.0,44.0,144351,Sep-2022
2022-10-01,75,149900.0,5.3,10,"saline, mo",60.0,50.0,144716,Oct-2022
2022-11-01,76,148750.0,5.81,11,"saline, mo",64.0,68.0,144639,Nov-2022
2022-12-01,77,159900.0,5.54,12,"saline, mo",58.0,80.0,144730,Dec-2022
2023-01-01,78,148500.0,5.55,1,"saline, mo",59.0,74.0,144856,Jan-2023
2023-02-01,79,147500.0,6.7,2,"saline, mo",59.0,66.0,144389,Feb-2023
2023-03-01,80,147250.0,7.08,3,"saline, mo",54.0,58.0,144514,Mar-2023
2023-04-01,81,149900.0,7.08,4,"saline, mo",47.0,61.0,144973,Apr-2023
2023-05-01,82,152450.0,6.49,5,"saline, mo",46.0,51.0,144824,May-2023
2023-06-01,83,166450.0,6.48,6,"saline, mo",45.0,43.0,145139,Jun-2023
2023-07-01,84,175000.0,6.5,7,"saline, mo",53.0,39.0,144628,Jul-2023
